product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Multi grain cheerios,"Whole Grain Oats, Whole Grain Corn, Sugar, Corn Starch, Whole Grain Rice, Whole Grain Sorghum, Brown Sugar Syrup, Salt, Tripotassium Phosphate, Color (caramel color, annatto extract). Vitamin E (mixed tocopherols) Added to Preserve Freshness. Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients), A B Vitamin (niacinamide), Vitamin C (sodium ascorbate), A B Vitamin (calcium pantothenate), Vitamin B6 (pyridoxine hydrochloride), Vitamin B2 (riboflavin), Vitamin B1, (thiamin mononitrate), A B Vitamin (folic acid), Vitamin B12, Vitamin A (palmitate), Vitamin D3.",384.62,7.69,3.85,82.05,,,
5 korn flochen,"Fulgi integrali de grau (43%), fulgi integrali de secara (25%), fulgi integrali de ovaz (15%), fulgi integrali de orz (10%), fulgi integrali de grau spelt (7%),",332.0,11.0,2.7,60.0,,,
Porridge to go,"wholegrain rolled oat flakes (36%), wholegrain oat flour (14%), golden syrup (14%), oligofructose, brown sugar, cereal crisps (rice flour, oat flour (1%), sugar, calcium carbonate, barley malt extract), sunflower oil, emulsifiers (glycerol, soya lecithin), modified starch, ground almond flour, skimmed milk powder, antioxidant (tocopherol rich extract), raising agent (sodium bicarbonate), salt, calcium carbonate, natural flavouring, allergy advice for allergens, see ingredients in bold, also, may contain other nuts, wheat, sesame and peanuts, typical values nutrition information",407.0,6.5,13.0,62.0,,,
,"Gepuffter Weizen (58%), Zucker, Glukosesirup, Honig (2%), Sonnenblumeno Kann Erdnüsse, Schalenfrüchte, Milch - und Sojaerzeugnisse und Sesamsamen enthalten. Dieses Produkt wird nach Gewicht abgepackt, nicht nach Volumen. Schwankungen der Füllhöhe sind transportbedingt. Probieren Sie Knusperone Honey Wheat mit kalter Milch, Fruchtsäften, Joghu und frischen Früchten. Ein knusprig leckeres Frühstück für die ganze Familie",391.0,8.4,2.9,80.3,,,
Basen Balance Frühstücks Brei,"50% Buchweizen, 23% Hirseflockem, 8% Aprikosen getrocknet, 7% Apfelstücke getrocknet, 5% Leinsamen braun, Sojaflocken, 2% Erdmandeln gemahlen, 2% Amaranth gefufft",362.0,12.0,5.4,61.0,,,
Spécial K,N/A,375.0,9.0,1.5,79.0,,,
Granola choco & hazelnut,N/A,458.0,10.9,18.3,59.0,,,
Oatmeal squares,"Whole grain oat flour, whole wheat flour, brown sugar, sugar, maltodextrin, malted barley extract, molasses, salt, calcium carbonate, sodium bicarbonate, natural flavor, yellow 5, sodium ascorbate, reduced iron, yellow 6, alpha tocopheryl acetate (vitamin e), bht (preservative), niacinamide (vitamin b3), zinc oxide, thiamin mononitrate (vitamin b1), folic acid, pyridoxine hydrochloride (vitamin b6), vitamin a palmitate, riboflavin (vitamin b2).",375.0,10.7,4.46,78.6,,,
Lifalif,oatmeal,360.0,14.0,7.5,53.0,,,
Honey nut cheerios,N/A,383.0,8.8,4.9,81.0,,,
Crunchy Mix-Up,N/A,424.0,8.2,12.0,66.0,,,
Raisin bran delicious raisins perfectly balanced with crisp,"Whole grain wheat, raisins, wheat bran, sugar, brown sugar syrup. contains 2% or less of malt flavor, salt.",322.0339,8.4745762711864,1.6949152542373,79.661016949153,,,
Irish Porridge Oats Original,100% wholegrain rolled oats,371.0,11.0,5.8000001907349,64.0,,,
Céréales complètes au Cacao,"Farines 86% (maïs, blé complet 28% (gluten), millet complet) - sucre - cacao en poudre 3% - vitamine B1,",377.0,10.0,2.1,76.0,en:gluten,,
Porridge Traditional Rolled Oats,"Wholegrain Oat Flakes (59%) Dried Skimmed Milk Barley Flakes (contain Gluten) (10%) Spelt Flakes (Wheat contains Gluten) (5%) Rye Flakes (contain Gluten) (5%) Chicory Fibre Flavouring. For allergens see ingredients in bold. Suitable for vegetarians ● ● ● ● Deliciously healthy food Best enjoyed as part of a healthy lifestyle & a balanced varied diet Contains oat and barley Well been shown to lower cholesterol beta-glucans to help lower cholesterol Beta-glucans have A serving provides 1.7g of beta-glucan, 57% of the suggested daily intake of 3g. Source of Protein, which contributes to the maintenance of muscle mass",352.0,14.7,2.4,64.1,,,
protein granola,N/A,396.0,20.0,12.0,46.0,,,
Honey Toasted Organic Oat Cereal,"whole oat flour*, degerminated yellow cornmeal*, invert cane syrup*, oat fiber*, honey*, salt, expeller pressed canola oil*, natural flavor, mixed tocopherols (vitamin e) for freshness,*organic",370.0,9.1,5.4,80.6,,,
Cereales Crujientes De Avena Kölln,N/A,392.0,9.7,5.4,72.0,,,
Granola Super Proteine,"ingrediëntcn Volkoren HAVER 26&lt;, semengde zaden 26% (zonncblocmzaden 16%, pompoenzaden 8%, lijnzaad 1 %), honing 15%, raapzaadolie, AMANDELEN geroosterde kikkererwten 5%, geschaafde kokosnoot. erwt proteine.",509.0,16.7,32.0,35.7,,,
Nestlé crunch,,403.0,7.4,7.6,72.7,,,
Weet-bix,"Wholegrain wheat 97% (Gluten),
Sugar,
Salt,
Barley malt extract (Gluten),
Vitamins (B1, B2, B3),
Electrolytic Iron",353.7285,12.4,2.9,63.0,en:gluten,,
Regular Instant Oatmeal,"Whole grain rolled oats, Whole grain oat flour, Calcium carbonate, Salt",357.0,14.3,7.14,67.9,,,
Grpund connamon,scorțişoară măcinată,,,,,,,
Oatpops avena integral extrusionada,N/A,383.0,11.0,5.6,68.0,,,
Tedi,N/A,377.0,9.0,4.5,71.0,,,
Super petit déjeuner banane et beurre de cacahuète,"flocons d'avoine sans gluten 49%, sarrasin moulu 15%, beurre de cacahuètes grillées 14%, banane en poudre 6%, datte en poudre, graines de chia moulues 4%, graines de lin moulues, mûres blanches.",386.0,14.0,14.0,51.0,,,
Nestum  zero chocolate,N/A,397.0,11.0,4.0,75.0,,,
Unknown,N/A,,,,,,,
Coco Pops Mega Pops,N/A,382.0,8.8,4.2,73.0,,,
Great Grains Cereal Cranberry Almond Crunch,"Whole grain wheat, sugar, dried cranberries (cranberries, sugar, glycerin, sunflower oil), whole grain rolled oats, almonds, rice, canola oil, corn syrup, salt, wheat flour, malted barley flour, molasses, natural flavor. bht added to preserve freshness. vitamins and minerals: ascorbic acid (vitamin c), vitamin e acetate, niacinamide (vitamin b3), reduced iron, zinc oxide (source of zinc), pyridoxine hydrochloride (vitamin b6), thiamin mononitrate (vitamin b1), vitamin a palmitate, riboflavin (vitamin b2), folic acid, vitamin b12, vitamin d3.",375.0,8.93,5.36,78.57,,,
Punaisia linssejä,Punainen linssi. Saattaa sisältää pieniä määriä gluteenia.,337.0,26.0,1.6,47.0,,,
Granola Bio Chocolat Noir & Pépites,"Flocons d'avoine* , Chocolat noir* 15e ( sucre* , pâte de cacao* , beurre de cacao*), Miel* , Pépites de chocolat* 9È (masse de cacao* sucre de canne* , beurre de cacao* , lécithine de tournesol, arôme naturel de vanille* ) , Amandes entières concassées* , Graines de sésame* , Huile de colza* , Sel marin.",466.0,1.2,23.7,49.0,,,
Flocons davoine Complets,N/A,372.0,13.5,7.0,58.7,,,
Choco Hoops,N/A,389.0,8.7,4.3,76.0,,,
Co-op Porridge Oats,Rolled Oat Flakes,,11.5,7.75,60.0,,,
Raisin bran breakfast cereal,"whole grain wheat, raisins, wheat bran, sugar, brown sugar syrup, contains 2% or less of malt flavor, salt,",322.03389830508,8.4745762711864,1.6949152542373,79.661016949153,,,
Honey rings,"gepofte granen met honing ingrediënten: granen 83 % (maïsgries, tarwebloem), suiker, honing 5 %, zout, natuurlijk aroma, kleurstoffen (carotenen, annatto norbixine), karamel (suiker, water), gekaramelliseerde suikerstroop, vitaminen (niacin, panthotheenzuur, riboflavin, thiamine, vitamin b6, vitamin b12, foliumzuur, biotin), ijzer, kan sporen van rogge, gerst, haver en de hybrid soorten daarvan, soya, melk, amandelen, hazelnoten, walnoten, cashewnoten, pecannoten, paranoten, pistachenoten in  macadamianoten bevatten, cereal balls puffed with honey ingredients: cereals 83 % (maize semolina, wheat flour), sugar, honey 5 %, salt, natural flavor, dyes (carotenoids, annatto norbixin), caramel (sugar, water), caramelized sugar syrup, vitamins (niacin, pantothenic acid, riboflavin, thiamine, vitamin b6, vitamin b12, folic acid, biotin), iron, may contain traces of rye , barley, oats and their hybridized strains, soybeans,  milk, almonds, hazelnuts, walnuts, cashews, pecans, brazil nuts, pistachios and macadamia nuts, puffgetreide mit honig zutaten: getreide 83 % (maisgrieß, weizenmehl), zucker, honig 5 %, salz, natürliches aroma, farbstoffe (carotin, annato norbixin), karamell (zucker, wasser), karamellisierter zuckersirup , vitamin (niacin, pantothensäure, riboflavin, thiamin, vitamin b6, vitamin b12, folsäure, biotin), eisen, kann spuren von roggen, gerste, hafer und hybridstämme davon,  soja, milch, mandeln, haselnüssen, walnüssen, kaschunüssen, pekannüssen, paranüssen, pistazien und macadamianüssen enthalten,",375.0,8.0,1.0,81.0,,,
Zobene pahuljice,Zobene pahuljice iz cijelog zrna,364.0,14.0,6.9,65.0,,,
Fitness,N/A,372.0,9.3,16.0,28.7,,,
Flakes Au Sarrasin,"Sarrasin* (97%), sucre de canne roux&quot; (&lt;2%), sel. *issus de l'agriculture biologique. Peut contenir des traces de gluten. Riche en fibres. Source de protéines. Sarrasin cultivé en France. NL BOEKWEITFLAKES",355.0,13.0,3.0,68.0,,,
Nestle Milo Cereal Breakfast,,371.0,8.1,2.9,78.1,,,
So Simple Gluten Free Original Porridge,Quaker Wholegrain Gluten-free Rolled Oats TYPICAL,370.0,13.0,12.0,58.0,,,
Pumkin Seed & Flax Granola Cereal,"organic oats, organic
sunflower oil, organic brown rice
crisps, organic tapioca syrup
organic cane syrup, organic cane
sugar, organic flaxseed, organic
pumpkin seeds, organic brown rice
flour, kosher salt, organic spices,
may contain: tree nuts, wheat, soy
dist,",418.18181818182,9.0909090909091,16.363636363636,61.818181818182,,,
NutriGrain,"Cereals (51%)(wheat flour, oatmeal, maize flour), sugar, wheat protein, maltodextrin, molasses, oat fibre, vegetable gum (acacia gum), salt, barley malt extract, minerals (calcium carbonate, iron, zinc oxide), raising agent (potassium bicarbonate), natural flavours, natural colours (paprika, turmeric), vitamins (niacin, vitamin B6, riboflavin, folate).",,21.8,3.0,65.2,en:gluten,,
Craquant Fourré Cacao Noisette,"Farine de riz complet* 60%, noisettes* 13%, noix de cajou*, sucre de canne*, sucre de coco*, poudre de cacao maigre* 2%, farine de lin*",442.0,9.5,15.6,60.8,en:nuts,,
Müsli Riegel Haselnuss,"Hafervollkornflocken 32%, Süßungsmittel: Maltitsirup; Getreideextrudat (Weizenmelhl, Reismehl, Maismehl, Süßungsmittel: Isomalt, Sonnenblumenöl, Stabilisator: Calciumcarbonat; Speisesalz) zerkleinerte Haselnusskerne 10%, Cornflakes 4,1% (Mais Speisesalz, Gerstenmalzextrakt), Weizenstärke, Weizenvollkornflocken 2,7%, Gerstenvollkornflocken 2,7%, Kokosöl, Feuchthaltemittel: Glycerin, Speisesalz, natürliches Aroma, Emulgator: Lecithine; Getsernmalzextrakt",393.0,8.2,12.0,63.0,,,
Oats & Honey Granola,"whole grain rolled oats, cane sugar, canola oil, rice flour, corn syrup, molasses, whole grain brown rice flour, honey. may contain traces of milk, eggs, tree nuts, peanuts, wheat and soy",415.09433962264,9.4339622641509,11.320754716981,71.698113207547,,,
