product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Enersoy,N/A,,,,,,,
,N/A,,,,,,,
nupro Protein Shake,"NATÜRLICHE BIO-PROTEINPULVERMISCHUNG MIT KAKAO UND ZIMT.  (100 % BIO): ERBSENPROTEIN, SONNENBLUMENPROTEIN, KAKAO (11 %), KOKOSBLÜTENZUCKER, ZIMT (4 %), LEINMEHL, GUARKERNMEHL, APFELFASER, FLOHSAMENSCHALEN, ACEROLA. KANN SPUREN VON SOJA, MILCHETWEISS UND GLUTEN ENTHALTEN.",363.0,51.0,5.1,22.0,,,
Mass gainer,"Mezcla de carbohidratos (maltodextrina, almidón de maíz céreo, almidón de cebada, batata, copos de avena), mezcla de proteínas de suero de leche (concentrado de proteína de suero), aislado de proteínas de suero de leche, proteína de suero de leche hidrolizada, mezcla de lípidos alimentarios (aceite de coco fraccionado, aguacate, semillas de calabaza), espesantes (soja desgrasada, guisantes, goma guar), migas de galleta (harina de trigo enriquecida, niacina, hierro reducido, mononitrato de tiamina, riboflavina, ácido folico) azúcar, aceite de colza, cacao, sal, gasificante: bicarbonato de sodio, contiene menos del 2% de: saborizante de nata natural, emulgente: lecitina de girasol, emulgente: lecitina de soja, edulcorante ñ: sucralosa, antiaglomerante: dióxido de silicio, enzimas (lactasa, proteasa), extracto de canela (cinulina pf), cereza ácida.",375.0,11.0,1.1,79.6,,,
Plant Protein Shake Triple Chocolate,N/A,51.446945337621,6.4308681672026,1.6077170418006,3.2154340836013,,,
Grenade High protéines Shake,"water, skimmed milk, protein blend (calcium casera sakse natural flavourings, salt, colour-lycopene",59.0,7.5,2.20000004768372,2.20000004768372,,,
Hyvin sokeroimaton proteiinijuoma kaakao,"Pastöroitu MAITO (Suomi), Maitoproteiini, kaakao (1,0%), luontaiset aromit, suola, stabilointiaine (gellaanikumi), D-vitamiini. Lisätty D-vitamiinia. Laktoositon. Karrageeniton. Runsaasti proteiinia. Ei lisättyä sokeria tal makeutusaineita. Sisältää luontaisesti sokereita.",60.0,8.0,1.0,4.7,en:milk,,
MediDrink,"Használati utasitás Fogyasz bktose dra kész ital. Haszrat elin fe ázando. Lehütve finomatb Las san, kortyonként fogyassza Tárolási utasitás 2-28 Cközött tárolandó. A febontott dobozt artsa hútószekrényben. Ha fel - bontás után 24 órán belül nem fo - yasztja el, a maradekot dobja ki Ultramagas hómérsékleten hö - kezelt. Gyártás helye Magyarország Minőségét megőrzi: lásd a centovs ga alo jediný zdra dapinok vdivy pre dospelych Návod na použitie Je pre very na okambité poubtie, je t lepšie ho podivat vychlader Pred poutitim dobre pretrept Pite pomaly v malych divkach Návod na skladovanie Skla dujte pri teplote medai 2 al 28 C Po otvorení uchovávajte v chlad ničke. Nespotrebovaný obsah vyhod'te po 24 hodinách. y alebo doboz tetején (nap/hónap/év) Lot szám: lásd a doboz tetején Ošetrené ultravysokotepelným ohrevom. Vyrobené v: Maď'arsko Minimálna trvanlivost': Pozri bomú čast'obalu (deň, mesiac, rok) Číslo šarže: Pozri hornú čast obalu EN Food for special medical purposes for the dietary man - agement of disease-related mainutrition. For enteral use only Gluten-and lactose-free. Important notice: Must be used under medical supervision. Not for patients with galactosemia. Directions for storage: Store between 2-28 °C. Once opened, store in a refrigerator and discard unused content after 24 hours. Ultra high temperature heat - treated. Place of production: Hungary Best before date: see top of pack (day/month/year) Batch number: see top of pack ITAlimento a fini medici spe - cialilindicato per la gestione diete - tica di malnutrizione associata al - la malattia. Solo per uso enterale. Senza glutine e senza lattosid. Avviso importante: Da utiliz - zare sotto supervisione medica. Non adatto a pazienti con galat - tosemia. Istruzioni per l'uso: Prodotto pronto da bere, più appetibile se servito freddo. Agitare bene pri - ma dell'uso. Bere lentamente a piccoli sorsi. Istruzioni per la conservazi - one: Conservare tra 2 e 28°C. Una volta aperto conservare in frigorifero. Eliminare il contenuto inutilizzato dopo 24 ore. Trattato ad altissime temperature. Luogo di produzione: Ungheria Da consumarsi preferebilmente entro: data riportata sulla confe - zione (giorno, mese, anno) Numero di lotto: lotto riportato sulla confezione",200.0,8.0,13.3,11.0,,,
ProPud Milkshake Pear Vanilla,N/A,58.0,6.1,1.5,4.9,,,
פרו שייק חלבון מי גבינה עם אפרסק ומנגו,"Water, Whey protein (7.2%), Fruits(Peach Purée, Mango Purée)(6%), Stabilisers(Citrus pectin, locust bean gum),Monk fruit concentrate, Flavours, salt.
Contains branched-chain BCAA amino acids.
Allergens: Contains Milk!",54.0,7.2,0.5,5.2,,,
