product_name,ingredients,energy_kcal,protein_100g,fat_100g,carbohydrates_100g,allergens,price,rating
Filled Proteinriegel - Peanut-Caramel,,404.0,32.0,21.0,30.0,,,
"Protein Energy Bar, French Vanilla Creme","Proto whey protein blend (micro peptides from high-dh hydrolyzed whey protein [40% di and tripeptides], whey protein isolate, milk protein isolate), palm oil, enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, palm kernel oil, canola oil, dextrose, soy lecithin, natural flavors, sucralose, baking soda, salt, ammonium bicarbonate, stevia leaf extract.",550.0,35.0,32.5,27.5,,,
Chocolate Peanut Butter Bar,"Chocolate flavored coating (maltitol, fractionated palm kernel oil, whey protein concentrate, cocoa [processed with alkali], calcium carbonate, natural flavors, soy lecithin, sucralose), hydrolyzed collagen, peanut flour, protein blend (milk protein isolate, whey protein isolate, whey protein concentrate), glycerin, maltitol syrup, soy crisps (soy protein isolate, tapioca starch, salt), water, peanuts, peanut oil, sucrose, salt, natural flavors, sucralose, almond butter, soy lecithin.",400.0,40.0,14.0,34.0,en:peanuts,,
Wellmix Sport 51% Protein,"Milcheiweiß, Sojaeiweiß, hydrolysiertes Weizengluten, Gelatinehydrolysat, 17 % Weiße Maltitschokolade mit Süßungsmittel (Süßungsmittel (Maltit), Kakaobutter, Vollmilchpulver, Emulgator (Sojalecithin), Vanille), Feuchthaltemittel(Glycerin), 2,3% Sojaeiweiß Crispies (Sojaeiweiß, Tapiokastärke, Speisesalz), Sojaöl, Aromen, Palmöl, Stabilisator (Gummi arabicum), Meersalz, Emulgator (Sojalecithin), Süßungsmittel (Sucralose)",345.0,51.0,8.6,24.0,,,
Max Protein Bar,"BTGRLORE. s,émusifignt: lécithine: Colorant: caramel ordinaire: édulcorant: sucralose. Cacao:37% minimum ENRUENESDE LAT. humectant : glycérol: hydrolysat de collagène, édulcorant:maltitol;oligofructoSe, agent gonflar S8ny laBcEFInorédients:28 % chocolat au lait avec édulcorant (édulcorant : maltitol: beurre de cacao, LAIT ENTIER EN POUDRE, påte de cacao, émulsifiant:lécithine; aröme nature, i 2ctlam caramet sweetener: sucralose. Cocoa:37% minimum in the chocolate. May contain GLUTEN., EGGS, PEANUTS, ALMONDS and HAZELNUTS. EXCessive consumption may produce laxatvee anectant olycerak colagen hydrolysate, sweetener: maltitot: oligofructose. bulking agent: polvdextrose: Sunflower oil. tanioca starch, cocoa butter. EBgeT G Ingredients: 285 milk chocolate with sweetener (sweetener: maltitnl: cocoa hiutter WHOI E MII K POWnER cOcO9 mase omileifior lasithinaTCM MIK SUgSTet Sucralose. Kakao: 37 %mindestens in der Schokalade. Kann AUTEN IER RRNISSE MAAIDEL&te ArOmen, vuLLMILCHPULVER, Sa, Emulastor LRcN? stteaCEi Aollanenhydrotysat, Sißungsmite Maltit Qlinnfruktnco Eletoff alhroLvEK, Kakaomasse, Emulgator: Lecithine;, natürliches Aromal. SOJAPROTEIN MLCe er, flavourings, WHOLE MILK POWOER, STer teiuniis natural tavouring Uni 0àns le Chocolat. Peut contenir GLUTEN, CEUFS. ARACHIOES. AMANDES et NOISETES onflants : polydextrose; huile de tournesol, amidon de tapioca, beurre de caca0 DROTENE Sat,at watinpfuetr Srp stonichschakalade mit Süßungsmittel (SüBungsmittel: Maltit, Kakaobutter,",359.0,33.0,13.0,33.0,,,
Rocky road,"Oligofructose, Rice Flour, Milk Chocolate (11%) [Sugar, Cocoa Butter, Cocoa Mass, Skimmed Milk Powder, Whey Powder (Milk), Lactose (Milk), Anhydrous Milk Fat, Emulsifiers (Soya Lecithin, Polyglycerol Polyricinoleate), Natural Vanilla Flavouring], Bulking Agent (Polydextrose), Oats (6%), Humectant (Glycerine), Marshmallows (6%) [Glucose-Fructose Syrup, Sugar, Water, Pork Gelatine, Maize Starch, Colour (Beetroot Red), Natural Flavouring], Palm Oil, Sugar, Glucose Syrup, Fat Reduced Cocoa Powder, Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Niacin, Iron, Thiamin), Honeycomb Pieces (1.5%) [Sugar, Glucose Syrup, Palm Oil, Raising Agent (Sodium Bicarbonate)], Natural Flavourings, Whey Powder (Milk), Freeze Dried Raspberries (0.4%), Emulsifier (Soya Lecithin), Skimmed Milk Powder, Malted Barley Flour, Rapeseed Oil, Salt. ALLERGEN INFORMATION For allergens, including cereals containing gluten, see ingredients in bold. May contain traces of peanuts, nuts and egg. ADDITIONAL INFORMATION High in fibre.",352.0,4.9,8.8,49.0,en:milk,,
Protein bar,N/A,382.2,23.3,19.9,24.5,,,
High Protein Chocolate Flavour,"Riegermit EiweiB und Vollmilchschokoladenüberzug. Mit SüBungsmitteln. Schoko Geschmack. Bar With Protein and Milk Chocolate Coaing. sweeteners. Chocolate Havour. Barriu de proteinas con cobertura de chocolat leche. Con edulcorantes. Sabor chocolate. Barre à base de protéines avec enrobage de chocolat au lait Avec édulcorants, Goût chocolat tot•, Barre de de Maw. htydextrose; Humidifiant Glycérol; Protéines de Soja, Sirop Fructo-0figosaccharide, pouüe de Cacao et d'aftes noix comesftles Une consommation excessive peut enfrûler des effeb taxatfs.",332.0,40.0,9.0,22.0,,,
Protein Erdnuss & Schokolade,"Geröstete Erdnüsse (39%), Oligofruktose, Sojaprotein, Schokolade (8%) (Zucker, Kakaomasse, Kakaobutter, Emulgator (Lecithine (enthält Soja)), pflanzliche Öle und Fette (Palm, Raps, Sonnenblume), Zucker, Milcheiweiß, Fruktose, Glukosesirup, Erdnussbutter (2%), fettarmes Kakaopulver, Feuchthaltemittel (Glycerin), Tapiokastärke, Emulgator (Lecithine (enthält Soja)), Speisesalz, natürliche Aromen (enthält Milch), Maltodextrin, Antioxidationsmittel (stark tocopherolhaltige Extrakte)",503.0,25.7,30.1,25.5,en:milk,,
Proteinriegel Peanut Caramel,,403.0,33.0,19.0,37.0,,,
